CONFIG,seed=123456789,taps=11
H,tick,birdX,birdY,velY,rotation,rotVel,rotAccel,gravity,hit,idle,score,landX,p1x,p1y,p2x,p2y,p3x,p3y,speed,warmup,rngY,rngZ
START,seed=123456789,rngY=118540483,rngZ=-1911680585
S,14,80,200,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-18,49,274,206,274,363,274,2,1,118540483,-1911680585
S,15,80,199,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-20,47,274,204,274,361,274,2,1,118540483,-1911680585
S,16,80,199,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-22,45,274,202,274,359,274,2,1,118540483,-1911680585
S,17,80,199,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,0,43,274,200,274,357,274,2,1,118540483,-1911680585
I,18
S,18,80,194,-4.7,-20.0,-9.6,0.4,0.3,false,false,0,-2,41,274,198,274,355,274,2,1,118540483,-1911680585
S,19,80,189,-4.3999996,-20.0,-9.200001,0.4,0.3,false,false,0,-4,39,274,196,274,353,274,2,1,118540483,-1911680585
S,20,80,184,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-6,37,274,194,274,351,274,2,1,118540483,-1911680585
S,21,80,180,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-8,35,274,192,274,349,274,2,1,118540483,-1911680585
S,22,80,176,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-10,33,274,190,274,347,274,2,1,118540483,-1911680585
S,23,80,172,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,-12,31,274,188,274,345,274,2,1,118540483,-1911680585
S,24,80,169,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-14,29,274,186,274,343,274,2,1,118540483,-1911680585
S,25,80,166,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-16,27,274,184,274,341,274,2,1,118540483,-1911680585
S,26,80,163,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-18,25,274,182,274,339,274,2,1,118540483,-1911680585
S,27,80,161,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-20,23,274,180,274,337,274,2,1,118540483,-1911680585
S,28,80,159,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-22,21,274,178,274,335,274,2,1,118540483,-1911680585
S,29,80,157,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,0,19,274,176,274,333,274,2,1,118540483,-1911680585
S,30,80,155,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-2,17,274,174,274,331,274,2,1,118540483,-1911680585
S,31,80,154,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-4,15,274,172,274,329,274,2,1,118540483,-1911680585
S,32,80,153,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-6,13,274,170,274,327,274,2,1,118540483,-1911680585
S,33,80,152,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-8,11,274,168,274,325,274,2,1,118540483,-1911680585
S,34,80,152,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-10,9,274,166,274,323,274,2,1,118540483,-1911680585
S,35,80,152,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,-12,7,274,164,274,321,274,2,1,118540483,-1911680585
I,36
S,36,80,147,-4.7,-20.0,-9.6,0.4,0.3,false,false,0,-14,5,274,162,274,319,274,2,1,118540483,-1911680585
S,37,80,142,-4.3999996,-20.0,-9.200001,0.4,0.3,false,false,0,-16,3,274,160,274,317,274,2,1,118540483,-1911680585
S,38,80,137,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-18,1,274,158,274,315,274,2,1,118540483,-1911680585
S,39,80,133,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-20,-1,274,156,274,313,274,2,1,118540483,-1911680585
S,40,80,129,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-22,-3,274,154,274,311,274,2,1,118540483,-1911680585
S,41,80,125,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,0,-5,274,152,274,309,274,2,1,118540483,-1911680585
S,42,80,122,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-2,-7,274,150,274,307,274,2,1,118540483,-1911680585
S,43,80,119,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-4,-9,274,148,274,305,274,2,1,118540483,-1911680585
S,44,80,116,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-6,-11,274,146,274,303,274,2,1,118540483,-1911680585
S,45,80,114,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-8,-13,274,144,274,301,274,2,1,118540483,-1911680585
S,46,80,112,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-10,-15,274,142,274,299,274,2,1,118540483,-1911680585
S,47,80,110,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,-12,-17,274,140,274,297,274,2,1,118540483,-1911680585
S,48,80,108,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-14,-19,274,138,274,295,274,2,1,118540483,-1911680585
S,49,80,107,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-16,-21,274,136,274,293,274,2,1,118540483,-1911680585
S,50,80,106,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-18,-23,274,134,274,291,274,2,1,118540483,-1911680585
S,51,80,105,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-20,-25,274,132,274,289,274,2,1,118540483,-1911680585
S,52,80,105,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-22,-27,274,130,274,287,274,2,1,118540483,-1911680585
S,53,80,105,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,0,-29,274,128,274,285,274,2,1,118540483,-1911680585
I,54
S,54,80,100,-4.7,-20.0,-9.6,0.4,0.3,false,false,0,-2,-31,274,126,274,283,274,2,1,118540483,-1911680585
S,55,80,95,-4.3999996,-20.0,-9.200001,0.4,0.3,false,false,0,-4,-33,274,124,274,281,274,2,1,118540483,-1911680585
S,56,80,90,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-6,-35,274,122,274,279,274,2,1,118540483,-1911680585
S,57,80,86,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-8,-37,274,120,274,277,274,2,1,118540483,-1911680585
S,58,80,82,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-10,-39,274,118,274,275,274,2,1,118540483,-1911680585
S,59,80,78,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,-12,-41,274,116,274,273,274,2,1,118540483,-1911680585
S,60,80,75,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-14,-43,274,114,274,271,274,2,1,118540483,-1911680585
S,61,80,72,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-16,-45,274,112,274,269,274,2,1,118540483,-1911680585
S,62,80,69,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-18,-47,274,110,274,267,274,2,1,118540483,-1911680585
S,63,80,67,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-20,-49,274,108,274,265,274,2,1,118540483,-1911680585
S,64,80,65,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-22,-51,274,106,274,263,274,2,1,118540483,-1911680585
S,65,80,63,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,0,-52,274,-52,274,418,220,2,0,925111808,167625245
S,66,80,61,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-2,-54,274,416,220,573,232,2,0,101390116,1837103074
S,67,80,60,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-4,414,220,571,232,728,183,2,0,106633547,-1948960463
S,68,80,59,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-6,412,220,569,232,726,183,2,0,106633547,-1948960463
S,69,80,58,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-8,410,220,567,232,724,183,2,0,106633547,-1948960463
S,70,80,58,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-10,408,220,565,232,722,183,2,0,106633547,-1948960463
S,71,80,58,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,-12,406,220,563,232,720,183,2,0,106633547,-1948960463
I,72
S,72,80,53,-4.7,-20.0,-9.6,0.4,0.3,false,false,0,-14,404,220,561,232,718,183,2,0,106633547,-1948960463
S,73,80,48,-4.3999996,-20.0,-9.200001,0.4,0.3,false,false,0,-16,402,220,559,232,716,183,2,0,106633547,-1948960463
S,74,80,43,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-18,400,220,557,232,714,183,2,0,106633547,-1948960463
S,75,80,39,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-20,398,220,555,232,712,183,2,0,106633547,-1948960463
S,76,80,35,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-22,396,220,553,232,710,183,2,0,106633547,-1948960463
S,77,80,31,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,0,394,220,551,232,708,183,2,0,106633547,-1948960463
S,78,80,28,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-2,392,220,549,232,706,183,2,0,106633547,-1948960463
S,79,80,25,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-4,390,220,547,232,704,183,2,0,106633547,-1948960463
S,80,80,22,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-6,388,220,545,232,702,183,2,0,106633547,-1948960463
S,81,80,20,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-8,386,220,543,232,700,183,2,0,106633547,-1948960463
S,82,80,18,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-10,384,220,541,232,698,183,2,0,106633547,-1948960463
S,83,80,16,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,-12,382,220,539,232,696,183,2,0,106633547,-1948960463
S,84,80,14,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-14,380,220,537,232,694,183,2,0,106633547,-1948960463
S,85,80,13,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-16,378,220,535,232,692,183,2,0,106633547,-1948960463
S,86,80,12,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-18,376,220,533,232,690,183,2,0,106633547,-1948960463
S,87,80,11,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-20,374,220,531,232,688,183,2,0,106633547,-1948960463
S,88,80,11,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-22,372,220,529,232,686,183,2,0,106633547,-1948960463
S,89,80,11,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,0,370,220,527,232,684,183,2,0,106633547,-1948960463
I,90
S,90,80,6,-4.7,-20.0,-9.6,0.4,0.3,false,false,0,-2,368,220,525,232,682,183,2,0,106633547,-1948960463
S,91,80,1,-4.3999996,-20.0,-9.200001,0.4,0.3,false,false,0,-4,366,220,523,232,680,183,2,0,106633547,-1948960463
S,92,80,-3,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-6,364,220,521,232,678,183,2,0,106633547,-1948960463
S,93,80,-6,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-8,362,220,519,232,676,183,2,0,106633547,-1948960463
S,94,80,-9,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-10,360,220,517,232,674,183,2,0,106633547,-1948960463
S,95,80,-12,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,-12,358,220,515,232,672,183,2,0,106633547,-1948960463
S,96,80,-14,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-14,356,220,513,232,670,183,2,0,106633547,-1948960463
S,97,80,-16,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-16,354,220,511,232,668,183,2,0,106633547,-1948960463
S,98,80,-18,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-18,352,220,509,232,666,183,2,0,106633547,-1948960463
S,99,80,-20,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-20,350,220,507,232,664,183,2,0,106633547,-1948960463
S,100,80,-21,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-22,348,220,505,232,662,183,2,0,106633547,-1948960463
S,101,80,-22,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,0,346,220,503,232,660,183,2,0,106633547,-1948960463
S,102,80,-23,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-2,344,220,501,232,658,183,2,0,106633547,-1948960463
S,103,80,-23,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-4,342,220,499,232,656,183,2,0,106633547,-1948960463
S,104,80,-23,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-6,340,220,497,232,654,183,2,0,106633547,-1948960463
S,105,80,-23,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-8,338,220,495,232,652,183,2,0,106633547,-1948960463
S,106,80,-22,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-10,336,220,493,232,650,183,2,0,106633547,-1948960463
S,107,80,-21,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,-12,334,220,491,232,648,183,2,0,106633547,-1948960463
I,108
S,108,80,-20,0.70000017,-20.0,-2.4000006,0.4,0.3,false,false,0,-14,332,220,489,232,646,183,2,0,106633547,-1948960463
S,109,80,-19,1.0000002,-20.0,-2.0000005,0.4,0.3,false,false,0,-16,330,220,487,232,644,183,2,0,106633547,-1948960463
S,110,80,-17,1.3000002,-20.0,-1.6000005,0.4,0.3,false,false,0,-18,328,220,485,232,642,183,2,0,106633547,-1948960463
S,111,80,-15,1.6000001,-20.0,-1.2000005,0.4,0.3,false,false,0,-20,326,220,483,232,640,183,2,0,106633547,-1948960463
S,112,80,-13,1.9000001,-20.0,-0.80000055,0.4,0.3,false,false,0,-22,324,220,481,232,638,183,2,0,106633547,-1948960463
S,113,80,-10,2.2,-20.0,-0.40000054,0.4,0.3,false,false,0,0,322,220,479,232,636,183,2,0,106633547,-1948960463
S,114,80,-7,2.5,-20.0,-5.364418E-7,0.4,0.3,false,false,0,-2,320,220,477,232,634,183,2,0,106633547,-1948960463
S,115,80,-4,2.8,-20.0,0.39999947,0.4,0.3,false,false,0,-4,318,220,475,232,632,183,2,0,106633547,-1948960463
S,116,80,0,3.1,-19.6,0.7999995,0.4,0.3,false,false,0,-6,316,220,473,232,630,183,2,0,106633547,-1948960463
S,117,80,3,3.3999999,-18.800001,1.1999995,0.4,0.3,false,false,0,-8,314,220,471,232,628,183,2,0,106633547,-1948960463
S,118,80,6,3.6999998,-17.600002,1.5999994,0.4,0.3,false,false,0,-10,312,220,469,232,626,183,2,0,106633547,-1948960463
S,119,80,10,3.9999998,-16.000004,1.9999994,0.4,0.3,false,false,0,-12,310,220,467,232,624,183,2,0,106633547,-1948960463
S,120,80,14,4.2999997,-14.000005,2.3999994,0.4,0.3,false,false,0,-14,308,220,465,232,622,183,2,0,106633547,-1948960463
S,121,80,18,4.6,-11.600005,2.7999995,0.4,0.3,false,false,0,-16,306,220,463,232,620,183,2,0,106633547,-1948960463
S,122,80,22,4.9,-8.800006,3.1999996,0.4,0.3,false,false,0,-18,304,220,461,232,618,183,2,0,106633547,-1948960463
S,123,80,27,5.2000003,-5.600006,3.5999997,0.4,0.3,false,false,0,-20,302,220,459,232,616,183,2,0,106633547,-1948960463
S,124,80,32,5.5000005,-2.0000064,3.9999998,0.4,0.3,false,false,0,-22,300,220,457,232,614,183,2,0,106633547,-1948960463
S,125,80,37,5.8000007,1.9999933,4.3999996,0.4,0.3,false,false,0,0,298,220,455,232,612,183,2,0,106633547,-1948960463
I,126
S,126,80,32,-4.7,-8.000007,-9.6,0.4,0.3,false,false,0,-2,296,220,453,232,610,183,2,0,106633547,-1948960463
S,127,80,27,-4.3999996,-17.600006,-9.200001,0.4,0.3,false,false,0,-4,294,220,451,232,608,183,2,0,106633547,-1948960463
S,128,80,22,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-6,292,220,449,232,606,183,2,0,106633547,-1948960463
S,129,80,18,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-8,290,220,447,232,604,183,2,0,106633547,-1948960463
S,130,80,14,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-10,288,220,445,232,602,183,2,0,106633547,-1948960463
S,131,80,10,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,-12,286,220,443,232,600,183,2,0,106633547,-1948960463
S,132,80,7,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-14,284,220,441,232,598,183,2,0,106633547,-1948960463
S,133,80,4,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-16,282,220,439,232,596,183,2,0,106633547,-1948960463
S,134,80,1,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-18,280,220,437,232,594,183,2,0,106633547,-1948960463
S,135,80,0,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-20,278,220,435,232,592,183,2,0,106633547,-1948960463
S,136,80,-1,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-22,276,220,433,232,590,183,2,0,106633547,-1948960463
S,137,80,-2,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,0,274,220,431,232,588,183,2,0,106633547,-1948960463
S,138,80,-3,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-2,272,220,429,232,586,183,2,0,106633547,-1948960463
S,139,80,-3,-0.7999999,-20.0,-4.400001,0.4,0.3,false,false,0,-4,270,220,427,232,584,183,2,0,106633547,-1948960463
S,140,80,-3,-0.49999988,-20.0,-4.000001,0.4,0.3,false,false,0,-6,268,220,425,232,582,183,2,0,106633547,-1948960463
S,141,80,-3,-0.19999987,-20.0,-3.6000009,0.4,0.3,false,false,0,-8,266,220,423,232,580,183,2,0,106633547,-1948960463
S,142,80,-2,0.10000014,-20.0,-3.2000008,0.4,0.3,false,false,0,-10,264,220,421,232,578,183,2,0,106633547,-1948960463
S,143,80,-1,0.40000015,-20.0,-2.8000007,0.4,0.3,false,false,0,-12,262,220,419,232,576,183,2,0,106633547,-1948960463
I,144
